,brand,model,variant,variant_link
0,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Active,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Active.htm
1,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Onyx Plus,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Onyx_Plus.htm
2,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Ambition,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Ambition.htm
3,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Ambition AT,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Ambition_AT.htm
4,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style Non Sunroof,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Style_Non_Sunroof.htm
5,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Ambition,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Ambition.htm
6,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Matte Edition,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Matte_Edition.htm
7,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Style.htm
8,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Monte Carlo,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Monte_Carlo.htm
9,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Ambition DSG,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Ambition_DSG.htm
10,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Matte Edition AT,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Matte_Edition_AT.htm
11,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style AT,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Style_AT.htm
12,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Matte Edition,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Matte_Edition.htm
13,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Elegance Edition,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Elegance_Edition.htm
14,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Style,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Style.htm
15,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Monte Carlo AT,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.0_TSI_Monte_Carlo_AT.htm
16,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Monte Carlo,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Monte_Carlo.htm
17,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Matte Edition DSG,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Matte_Edition_DSG.htm
18,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Elegance Edition DSG,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Elegance_Edition_DSG.htm
19,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Style DSG,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Style_DSG.htm
20,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Monte Carlo DSG,https://www.cardekho.com/overview/Skoda_Kushaq/Skoda_Kushaq_1.5_TSI_Monte_Carlo_DSG.htm
21,Skoda,Skoda Slavia,Slavia 1.0 TSI Active,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Active.htm
22,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition Plus,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Ambition_Plus.htm
23,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Ambition.htm
24,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Non-Sunroof,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Style_Non-Sunroof.htm
25,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition AT,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Ambition_AT.htm
26,Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.5_TSI_Ambition.htm
27,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Style_Matte.htm
28,Skoda,Skoda Slavia,Slavia 1.0 TSI Style,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Style.htm
29,Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition DSG DT,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.5_TSI_Ambition_DSG_DT.htm
30,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte AT,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Style_Matte_AT.htm
31,Skoda,Skoda Slavia,Slavia 1.0 TSI Style AT,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.0_TSI_Style_AT.htm
32,Skoda,Skoda Slavia,Slavia 1.5 TSI Style,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.5_TSI_Style.htm
33,Skoda,Skoda Slavia,Slavia 1.5 TSI Elegance Edition,https://www.cardekho.com/overview/Skoda_Slavia/Skoda_Slavia_1.5_TSI_Elegance_Edition.htm
