,brand,model,variant
0,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Active
1,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Onyx Plus
2,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Ambition
3,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Ambition AT
4,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style Non Sunroof
5,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Ambition
6,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Matte Edition
7,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style
8,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Monte Carlo
9,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Ambition DSG
10,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Matte Edition AT
11,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Style AT
12,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Matte Edition
13,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Elegance Edition
14,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Style
15,Skoda,Skoda Kushaq,Kushaq 1.0 TSI Monte Carlo AT
16,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Monte Carlo
17,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Matte Edition DSG
18,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Elegance Edition DSG
19,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Style DSG
20,Skoda,Skoda Kushaq,Kushaq 1.5 TSI Monte Carlo DSG
21,Skoda,Skoda Slavia,Slavia 1.0 TSI Active
22,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition Plus
23,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition
24,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Non-Sunroof
25,Skoda,Skoda Slavia,Slavia 1.0 TSI Ambition AT
26,Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition
27,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte
28,Skoda,Skoda Slavia,Slavia 1.0 TSI Style
29,Skoda,Skoda Slavia,Slavia 1.5 TSI Ambition DSG DT
30,Skoda,Skoda Slavia,Slavia 1.0 TSI Style Matte AT
31,Skoda,Skoda Slavia,Slavia 1.0 TSI Style AT
32,Skoda,Skoda Slavia,Slavia 1.5 TSI Style
33,Skoda,Skoda Slavia,Slavia 1.5 TSI Elegance Edition
34,Skoda,Skoda Slavia,Slavia 1.5 TSI Style Matte
35,Skoda,Skoda Slavia,Slavia 1.5 TSI Style DSG Dual Tone
36,Skoda,Skoda Slavia,Slavia 1.5 TSI Elegance Edition DSG
37,Skoda,Skoda Slavia,Slavia 1.5 TSI Style Matte DSG
38,Skoda,Skoda Kodiaq,Kodiaq Style
39,Skoda,Skoda Kodiaq,Kodiaq Sportline
40,Skoda,Skoda Kodiaq,Kodiaq L & K
41,Renault,Renault KWID,KWID 1.0 RXE
42,Renault,Renault KWID,KWID 1.0 RXL Opt
43,Renault,Renault KWID,KWID  1.0 RXL Opt AMT
44,Renault,Renault KWID,KWID 1.0 RXT
45,Renault,Renault KWID,KWID CLIMBER
46,Renault,Renault KWID,KWID CLIMBER DT
47,Renault,Renault KWID,KWID 1.0 RXT AMT
48,Renault,Renault KWID,KWID CLIMBER AMT
49,Renault,Renault KWID,KWID CLIMBER DT AMT
50,Renault,Renault Triber,Triber RXE
51,Renault,Renault Triber,Triber RXL
52,Renault,Renault Triber,Triber RXT
53,Renault,Renault Triber,Triber RXT EASY-R AMT
54,Renault,Renault Triber,Triber RXZ
55,Renault,Renault Triber,Triber RXZ Dual Tone
56,Renault,Renault Triber,Triber RXZ EASY-R AMT
57,Renault,Renault Triber,Triber RXZ EASY-R AMT Dual Tone
58,Renault,Renault Kiger,Kiger RXE
59,Renault,Renault Kiger,Kiger RXL
60,Renault,Renault Kiger,Kiger RXL AMT
61,Renault,Renault Kiger,Kiger RXT
62,Renault,Renault Kiger,Kiger RXT AMT
63,Renault,Renault Kiger,Kiger RXT Opt
64,Renault,Renault Kiger,Kiger RXT Opt DT
65,Renault,Renault Kiger,Kiger RXT AMT Opt
66,Renault,Renault Kiger,Kiger RXT AMT Opt DT
67,Renault,Renault Kiger,Kiger RXZ
68,Renault,Renault Kiger,Kiger RXZ DT
69,Renault,Renault Kiger,Kiger RXT Opt Turbo
70,Renault,Renault Kiger,Kiger RXZ AMT
71,Renault,Renault Kiger,Kiger RXT Opt Turbo DT
72,Renault,Renault Kiger,Kiger RXZ AMT DT
73,Renault,Renault Kiger,Kiger RXZ Turbo
74,Renault,Renault Kiger,Kiger RXZ Turbo DT
